,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
110,4fd8c9f5-b433-4ae4-b8a0-3b04a1841304,109,Iceland,Europe,51.7,0.05,542.23,42.43,178385,0,97,0,75685,0,102603,1871047,345066,2,3557,0,281.0,3,5422287,516959.0
111,a22a19dd-cd37-4b17-bb78-214d939dcba6,110,Afghanistan,Asia,0.44,4.32,2.26,90.46,177321,0,7657,0,160402,0,9262,914608,40440575,228,5282,44,189.0,1124,22616,4385.0
112,3aae6f72-2cd7-423d-9e01-c89c936d9d98,111,Maldives,Asia,31.36,0.17,397.48,93.72,174658,0,297,0,163687,0,10674,2213831,556970,3,1875,0,533.0,25,3974776,313586.0
113,a07df09d-690a-4ca7-8d76-0b01a071ea51,112,Laos,Asia,2.2,0.4,13.58,4.67,164078,0,654,0,7660,0,155764,1012890,7457741,45,11403,7,88.0,0,135817,22001.0
114,38c9ecad-032b-490b-b53d-3926970e07e3,113,Uganda,Africa,0.34,2.19,5.27,61.13,163843,13,3595,0,100163,0,60085,2542633,48231528,294,13416,19,75.0,7,52717,3397.0
115,0eabfcba-af61-47f8-9054-217d94a00c7d,114,El Salvador,North America,2.46,2.56,28.24,87.64,161052,0,4115,0,141145,0,15792,1847861,6542696,41,1590,4,629.0,45,282431,24616.0
116,45d2c117-d4d7-4ad4-92c2-a18419a2ac40,115,Ghana,Africa,0.5,0.9,7.46,99.05,160894,0,1445,0,159359,0,90,2401739,32191830,200,22278,13,45.0,1,74607,4998.0
117,30371056-ab76-408a-ab94-6e90ea8d6727,116,Namibia,Africa,6.01,2.55,37.38,97.14,157576,0,4018,0,153069,0,489,979582,2620295,17,652,3,1533.0,3,373844,60137.0
118,b191f56d-eaf8-4a97-b1d3-e220e20aa686,117,Martinique,North America,37.73,0.64,215.59,0.07,141415,0,909,0,104,0,140402,807954,374763,3,412,0,2426.0,8,2155907,377345.0
119,b1c7dda7-4fd3-4c84-9385-4a67aae6d0af,118,Trinidad and Tobago,North America,9.7,2.73,47.42,91.72,136561,0,3729,0,125249,0,7583,667346,1407311,10,377,2,2650.0,18,474199,97037.0
